feature,block,mean_abs_shap,folds_selected,selection_frequency
expr:EXTL1,expression,0.01760346405208111,5,0.1
expr:ATL1,expression,0.017600044794380664,5,0.1
meth:ZNF831,methylation,0.01759760143301849,14,0.28
meth:ST6GALNAC1,methylation,0.01756529634197553,3,0.06
meth:TNFSF12-TNFSF13,methylation,0.01754829683341086,6,0.12
expr:PCDHGB5,expression,0.017531126271933317,2,0.04
meth:GNB3,methylation,0.017506133113056422,5,0.1
expr:PABPC1L,expression,0.017474670989692888,22,0.44
meth:MIR596,methylation,0.01742194468776385,3,0.06
expr:TLL2,expression,0.01741183642297983,2,0.04
meth:C9orf24,methylation,0.017367124557495117,2,0.04
meth:TMEM190,methylation,0.017353933097911067,40,0.8
meth:SNORD116-16,methylation,0.017347972840070724,1,0.02
expr:KCNK2,expression,0.01730883354321122,2,0.04
expr:SCD,expression,0.01727269440224128,7,0.14
expr:POU2AF1,expression,0.017263459110701526,27,0.54
expr:ZNF497,expression,0.01724361814558506,1,0.02
meth:PRNT,methylation,0.017204835027870204,9,0.18
