feature,block,mean_abs_shap,folds_selected,selection_frequency
expr:C1QTNF9,expression,0.00040991163446700996,35,0.7
expr:AOAH,expression,0.0004090190923307091,2,0.04
expr:GASK1B,expression,0.0004074079333804548,1,0.02
expr:FREM1,expression,0.00040730936420596813,43,0.86
meth:F11R,methylation,0.00040581760307153064,3,0.06
meth:TFF2,methylation,0.00040575667756060377,39,0.78
expr:CD274,expression,0.00040556394602530275,26,0.52
meth:C14orf49,methylation,0.0004055351670831442,50,1.0
expr:SOWAHA,expression,0.0004051530101735677,7,0.14
meth:BDH2,methylation,0.0004050008523652492,46,0.92
meth:NRTN,methylation,0.00040496635968641687,24,0.48
meth:SLC31A2,methylation,0.0004045230646928151,9,0.18
meth:FAM178B,methylation,0.0004043512949342462,37,0.74
meth:C15orf50,methylation,0.00040304257709067315,44,0.88
meth:TNS1,methylation,0.00040298522799275815,4,0.08
expr:STAT1,expression,0.00040265377740272216,18,0.36
meth:GGT6,methylation,0.0004019782490407427,30,0.6
meth:NCRNA00189,methylation,0.0004019022308057174,40,0.8
expr:RORA,expression,0.0004012639595506092,6,0.12
meth:SCARNA4,methylation,0.0004002774211888512,30,0.6
expr:ABCC8,expression,0.0003997525740747473,7,0.14
meth:C16orf11,methylation,0.00039951912874944116,38,0.76
meth:OTX2OS1,methylation,0.0003994975462167834,3,0.06
expr:THSD7B,expression,0.0003983524671639316,50,1.0
expr:FGD6,expression,0.0003972476042690687,12,0.24
meth:TRIM17,methylation,0.0003966994894047578,3,0.06
meth:RABL5,methylation,0.000396396208088845,38,0.76
meth:C6orf15,methylation,0.0003961136820726097,50,1.0
meth:TGFBR1,methylation,0.0003957967706290739,35,0.7
meth:ZBTB47,methylation,0.0003956763084249523,39,0.78
expr:ECRG4,expression,0.0003956465057294386,26,0.52
meth:FAM92B,methylation,0.00039544058381579816,16,0.32
meth:STOM,methylation,0.00039454730382810035,45,0.9
meth:RHBDL2,methylation,0.0003940972965210676,11,0.22
expr:NEURL1,expression,0.0003937437636691525,27,0.54
expr:TRPC3,expression,0.0003934042470064014,2,0.04
expr:GPR27,expression,0.0003924776230835252,9,0.18
expr:KCTD3,expression,0.0003922129253624007,22,0.44
expr:FMOD,expression,0.0003921643365174532,2,0.04
meth:DAND5,methylation,0.00039203595370054247,20,0.4
meth:PRSS8,methylation,0.0003919337410479784,5,0.1
meth:ARPP-21,methylation,0.00039182789623737335,5,0.1
meth:LOC100130872-SPON2,methylation,0.00039144127213424355,33,0.66
expr:CPD,expression,0.00039109700204183656,3,0.06
expr:UTRN,expression,0.0003909206795717844,22,0.44
